Name,Phone,Email,Mission_Statement,address1,address2,address3,city,state,zip,country
YMCA OF READING & BERKS COUNTY,610-378-4700,careers@ymca-berkscounty.org,"To put Judeo-Christian principles into practice through programs that build healthy spirit, mind, and body for all.",631 Washington Street," "," ",Reading,PA,19603,US
SAFE BERKS,610-468-9637,MindyM@SafeBerks.org,The mission of Safe Berks is to provide supportive services for victims and eliminate domestic and sexual violence in Berks County.,255 Chestnut Street," "," ",Reading,PA,19602,US
SOUTH MOUNTAIN YMCA,610-670-2267,ycamps@smymca.org,"The Mission of the South Mountain YMCA is to provide a camping experience, educational and other programs that build personal leadership, character and life skills while developing caring, honesty, respect and responsibility in young people, families and communities.",201 Cushion Peak Road," "," ",Reinholds,PA,17569,US
BAYADA HOSPICE,610-367-1608," ","BAYADA Home Health Care has a special purpose—to help people have a safe home life with comfort, independence, and dignity. BAYADA Home Health Care provides nursing, rehabilitative, therapeutic, hospice, and assistive care services to children, adults, and seniors worldwide. We care for our clients 24 hours a day, 7 days a week.Families coping with significant illness or disability need help and support while caring for a family member. Our goal at BAYADA is to provide the highest quality home health care services available. We believe our clients and their families deserve home health care delivered with compassion,excellence, and reliability, our BAYADA core values.",1 West Philadelphia Ave,4th floor," ",Boyertown,PA,19512,US
BERKS AGRICULTURAL RESOURCE NETWORK,610-378-1844,b.a.r.n.berks@gmail.com,The Berks Agricultural Resource Network (B.A.R.N.) is a non-profit organization formed in 2008 to serve the Berks County Agricultural and related food industries and rural communities.,1238 County Welfare Rd,Ste 260," ",Leesport,PA,19533,US
DOWNTOWN WELLNESS BERKS & PENN STREET MARKET,484-256-5704,COACHCOURTNEY@COURTNEYSHOBER.COM,"The Penn Street Market is an open-air, seasonal farmers market in the heart of downtown Reading, PA. The Market features local farm produce, fresh meats, baked goods, locally owned restaurants and food trucks, and more! The Greater Reading Chamber Alliance and the Market Team are committed to hosting a variety of family and nutritional programs in partnership with The Food Trust, featuring local musicians, kids crafts, and highlighting community resources."," "," "," "," ",PA," ",US
BERKS COMMUNITY ACTION PROGRAM,610-376-6571," ",BCAP's mission is to combat poverty in the city of Reading and Berks County and to help low- and moderate-income residents become more self-sufficient.  ,​645 Penn Street,3rd floor,PO Box 22,Reading,PA,19601​,US
BERKS CONNECTIONS / PRETRIAL SERVICES,484-260-3860," ","BCPS/Berks Connections is a nonprofit organization that provides pretrial services and reentry programming for individuals involved in the justice system, as well as services for their children and loved ones. Our reentry workforce development, housing, and mentoring programs equip returning citizens with the tools and support necessary to become productive members of our community. Our Family Connections programs serve to lessen the negative impact on children and families affected by parental incarceration.",19 N. 6th St,4th Floor," ",Reading,PA,19601,US
PEACEFUL LIVING,610-287-1200,mission@peacefulliving.org,"At Peaceful Living, the people we serve are unique, valuable individuals with special gifts to offer the world. It’s our calling to build belonging for every one of them. We are here to empower the best versions of themselves, and help them discover and realize their unique potential.",569 Yoder Road," "," ",Harleysville,PA,19438,US
READING PUBLIC MUSEUM,610-371-5850,amanda.machik@readingpublicmuseum.org,"The mission of the Reading Public Museum, a dynamic center of lifelong learning and discovery, is to educate, enlighten and engage current and future generations through the collection, preservation and interpretation of objects of art, science and civilization.",500 Museum Road," "," ",Reading,PA,19611,US
