Name,Phone,Email,Mission_Statement,address1,address2,address3,city,state,zip,country
ACRES PROJECT,814-777-1336,theacresproject@gmail.com,"ACRES (Adults Creating Residential & Employment Solutions) fosters social, vocational, and self-advocacy skills to increase independence and quality of life for adult with autism.",2400 Bernel Road," "," ",State College,PA,16803,US
AIDS RESOURCE ALLIANCE,814-272-0818,info@aidsresource.com,"AIDS Resource is a non-profit organization that provides free HIV prevention programs, free HIV and STI testing and assistance to those infected with, or affected by, HIV or AIDS.",129 S. Sparks Street,Suite #1," ",State College,PA,16801,US
Bestwick Foundation,330-968-9284," ","Established by Jamie Bestwick (President), Steve Greer (Secretary), and Dan Rallis (Treasurer), the purpose for which the Foundation is organized is to primarily provide financial assistance to those dealing with cancer and other health-related or unforeseen financial hardships.",P.O. Box 150," "," ",Boalsburg,PA,16827,US
The Arc of Centre County,814-238-1444,info@taocc.org .,The Arc of Centre County embodies and protects the human rights of individuals with intellectual and developmental disabilities and practices person-centered planning which actively supports their full inclusion and participation in the community throughout their lifetimes.,1840 N. Atherton Street," "," ",State College,PA,16803,US
Bridge of Hope,814-237-4673,Tirzah.boh@gmail.com,To engage Christian faith communities in ending family homelessness through neighboring relationships that demonstrate Christ’s love.,PO Box 433," "," ",State College,PA,16804,US
Catholic Charities,814-353-0502," ","To provide service to those in need, to advocate for justice, to encourage all Catholics and all people to live justly and care for the poor in our local communities.",1300 12th Avenue,P.O. Box 1349," ",Altoona,PA,16603,US
Center for Alternatives in Community Justice,814-234-0915,cacj@cacj.us,"At CACJ we serve society by working with the community and justice system to promote, develop, and implement effective alternatives that preserve human dignity, restore, heal, and empower individuals.",215 Robin Alley," "," ",State College,PA,16810,US
Central PA SCORE Chapter," ",help@score.org,"Central PA SCORE provides free and confidential  business mentoring and advice via a variety of ways including person-to-person, email or by telephone.  We also provide Business Improvement Workshops including Business Basics and Beyond the Basics, plus other business related activities. Some of these may be given in conjunction with other organizations and agencies, such as local chambers, the SBDC, and others.  Our 25 trained and experienced volunteers also include interns from Penn State University's College of Business other resource people to support our mentor/counselors.  Our members follow a strict Code of Ethics and Conduct and confidentiality is paramount.",2820 East College Avenue,Suite E," ",State College,PA,16801,US
CentreBike," "," ","We are the voice for slow and fast bicyclists in the Centre Region.

CentreBike is a 501(c) organization, founded in 2000, to help facilitate the vision of a more cycle-friendly community in the greater State College area. We are a coalition of cyclists working for cyclists, with the goal of promoting bicycling as a means of recreation and transportation.

Our interests include bicycling advocacy, rider education, bicycling safety & awareness, riding opportunities for all ages, and encouraging more bicycling in the area.

The common thread is that we love to ride, whether it be on the way to work, on singletrack through the forest, or on rolling back country roads."," "," "," "," ",PA," ",US
Central Pennsylvania Festival of the Arts,814-237-3682," ","To many people the Central Pennsylvania Festival of the Arts (the Festival, or CPFA) is something that “just happens” each summer. School lets out for the summer, and in what seems like the blink of an eye, the Festival is upon us. Landscapers, stage hands, musicians, artists, and volunteers all appear – and in their wake both State College and the Penn State campus are alive with visitors. Approximately 125,000 people visit the Festival each year. Founded in 1967 by the State College Chamber of Commerce and Penn State University’s College of Arts and Architecture in an effort to bring the arts and commerce to the area, the CPFA is an independent, not-for-profit corporation. In the years since the first festival, it has evolved to encompass the Sidewalk Sale and Exhibition, performances on outdoor and indoor stages, a banner competition, Children & Youth Day, a juried gallery exhibition, and the Italian Street Painting Festival. The Festival assists the Nittany Valley Running Club in presenting the Sue Crowe Memorial Arts Festival Races, and Schlow Centre Region Library in presenting BookFest.",403 S. Allen Street,Suite 205A,P.O. Box 1023,State College,PA,16804,US
